,Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final,Score1_Champion,Score2_Champion,Score3_Champion,Score1_Runner-up,Score2_Runner-up,Score3_Runner-up
21,1990,Ivan Lendl,1,TCH,Stefan Edberg,3,SWE,"4–6, 7–6, 5–2 ",4,7,5,6,6,2
22,1991,Boris Becker,2,GER,Ivan Lendl,3,TCH,"1–6, 6–4, 6–4",1,6,6,6,4,4
23,1992,Jim Courier,2,USA,Stefan Edberg,1,SWE,"6–3, 3–6, 6–4",6,3,6,3,6,4
24,1993,Jim Courier,1,USA,Stefan Edberg,2,SWE,"6–2, 6–1, 2–6",6,6,2,2,1,6
25,1994,Pete Sampras,1,USA,Todd Martin,9,USA,"7–6, 6–4, 6–4",7,6,6,6,4,4
26,1995,Andre Agassi,2,USA,Pete Sampras,1,USA,"4–6, 6–1, 7–6",4,6,7,6,1,6
27,1996,Boris Becker,4,GER,Michael Chang,5,USA,"6–2, 6–4, 2–6",6,6,2,2,4,6
28,1997,Pete Sampras,1,USA,Carlos Moyá,0,ESP,"6–2, 6–3, 6–3",6,6,6,2,3,3
29,1998,Petr Korda,6,CZE,Marcelo Ríos,9,CHI,"6–2, 6–2, 6–2",6,6,6,2,2,2
30,1999,Yevgeny Kafelnikov,10,RUS,Thomas Enqvist,0,SWE,"4–6, 6–0, 6–3",4,6,6,6,0,3
31,2000,Andre Agassi,1,USA,Yevgeny Kafelnikov,2,RUS,"3–6, 6–3, 6–2",3,6,6,6,3,2
32,2001,Andre Agassi,6,USA,Arnaud Clément,15,FRA,"6–4, 6–2, 6–2",6,6,6,4,2,2
33,2002,Thomas Johansson,16,SWE,Marat Safin,9,RUS,"3–6, 6–4, 6–4",3,6,6,6,4,4
34,2003,Andre Agassi,2,USA,Rainer Schüttler,31,GER,"6–2, 6–2, 6–1",6,6,6,2,2,1
35,2004,Roger Federer,2,SUI,Marat Safin,0,RUS,"7–6, 6–4, 6–2",7,6,6,6,4,2
36,2005,Marat Safin,4,RUS,Lleyton Hewitt,3,AUS,"1–6, 6–3, 6–4",1,6,6,6,3,4
37,2006,Roger Federer,1,SUI,Marcos Baghdatis,0,CYP,"5–7, 7–5, 6–0",5,7,6,7,5,0
38,2007,Roger Federer,1,SUI,Fernando González,10,CHI,"7–6, 6–4, 6–4",7,6,6,6,4,4
39,2008,Novak Djokovic,3,SRB,Jo-Wilfried Tsonga,0,FRA,"4–6, 6–4, 6–3",4,6,6,6,4,3
40,2009,Rafael Nadal,1,ESP,Roger Federer,2,SUI,"7–5, 3–6, 7–6",7,3,7,5,6,6
41,2010,Roger Federer,1,SUI,Andy Murray,5,GBR,"6–3, 6–4, 7–6",6,6,7,3,4,6
42,2011,Novak Djokovic,3,SRB,Andy Murray,5,GBR,"6–4, 6–2, 6–3",6,6,6,4,2,3
43,2012,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"5–7, 6–4, 6–2",5,6,6,7,4,2
44,2013,Novak Djokovic,1,SRB,Andy Murray,3,GBR,"6–7, 7–6, 6–3",6,7,6,7,6,3
45,2014,Stan Wawrinka,8,SUI,Rafael Nadal,1,ESP,"6–3, 6–2, 3–6",6,6,3,3,2,6
46,2015,Novak Djokovic,1,SRB,Andy Murray,6,GBR,"7–6, 6–7, 6–3",7,6,6,6,7,3
47,2016,Novak Djokovic,1,SRB,Andy Murray,2,GBR,"6–1, 7–5, 7–6",6,7,7,1,5,6
48,2017,Roger Federer,17,SUI,Rafael Nadal,9,ESP,"6–4, 3–6, 6–1",6,3,6,4,6,1
49,2018,Roger Federer,2,SUI,Marin Cilic,6,CRO,"6-2, 6-7, 6-3",6,6,6,2,7,3
50,2019,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"6–3, 6–2, 6–3",6,6,6,3,2,3
51,2020,Novak Djokovic,2,SRB,Dominic Thiem,5,AUT,"6-4, 4-6, 2-6",6,4,2,4,6,6
52,2021,Novak Djokovic,1,SRB,Daniil Medvedev,4,RUS,"7-5, 6-2, 6-2",7,6,6,5,2,2
53,2022,Novak Djokovic,1,SRB,Nick Kyrgios,2,AUS,"4-6, 6-3, 6-4",4,6,6,6,3,4
54,2023,Novak Djokovic,1,SRB,Jannik Sinner,3,ITA,"6-3, 6-3, 6-3",6,6,6,3,3,3
